scorer,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,0.0,0.0,0.8140000104904175,1131.8,485.283,0.7310000061988831,1068.169,412.459,0.6819999814033508,995.922,364.624,0.5389999747276306,,,1.0,,,,,,,,,,,,,,,
1,1234.367,435.428,1.0,1131.8,485.283,0.7129999995231628,1068.237,412.555,0.6890000104904175,995.922,364.708,0.5339999794960022,,,1.0,,,,,,,,,,,,,,,
2,1234.367,435.428,0.7160000205039978,1131.8,485.283,0.6499999761581421,1068.238,412.555,0.7009999752044678,995.922,364.708,0.531000018119812,,,1.0,,,,,,,,,,,,,,,
3,,,1.0,1123.859,484.205,0.7099999785423279,1068.257,412.555,0.7049999833106995,995.924,364.708,0.5249999761581421,,,1.0,,,,,,,,,,,,,,,
4,,,1.0,1123.806,484.121,0.722000002861023,1068.276,412.551,0.6949999928474426,995.924,364.708,0.5270000100135803,,,1.0,,,,,,,,,,,,,,,
5,,,1.0,1123.8,484.121,0.7170000076293945,1068.276,412.55,0.6930000185966492,995.924,364.705,0.5270000100135803,,,1.0,,,,,,,,,,,,,,,
6,,,1.0,1123.8,484.121,0.7160000205039978,1068.276,412.549,0.6830000281333923,995.924,364.705,0.5260000228881836,,,1.0,,,,,,,,,,,,,,,
