scorer,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
21,,,1.0,883.083,675.531,0.4830000102519989,876.401,620.555,0.7480000257492065,883.736,532.368,0.6060000061988831,972.624,468.05,0.5929999947547913,,,,,,,,,,,,,,,
22,,,1.0,883.083,675.433,0.49000000953674316,876.379,620.555,0.7519999742507935,883.681,532.368,0.6489999890327454,972.589,467.98,0.5450000166893005,,,,,,,,,,,,,,,
23,,,1.0,883.083,668.153,0.5839999914169312,875.903,612.49,0.7730000019073486,883.681,523.668,0.675000011920929,972.589,467.942,0.5540000200271606,,,,,,,,,,,,,,,
24,,,1.0,883.083,668.152,0.5849999785423279,875.892,612.49,0.7739999890327454,883.587,523.668,0.6470000147819519,972.589,467.942,0.5519999861717224,,,,,,,,,,,,,,,
25,,,1.0,883.083,668.15,0.5899999737739563,875.889,612.49,0.7879999876022339,883.581,523.668,0.6589999794960022,972.617,467.942,0.5529999732971191,,,,,,,,,,,,,,,
26,,,1.0,883.075,668.15,0.6060000061988831,875.886,612.527,0.7609999775886536,883.48,523.713,0.6240000128746033,972.653,467.949,0.5419999957084656,,,,,,,,,,,,,,,
27,,,1.0,883.09,668.131,0.6060000061988831,875.884,612.541,0.7620000243186951,883.437,532.57,0.621999979019165,972.655,467.99,0.5389999747276306,,,,,,,,,,,,,,,
28,,,1.0,883.092,668.079,0.6069999933242798,875.884,612.541,0.7680000066757202,883.437,532.57,0.6389999985694885,972.708,468.01,0.5460000038146973,,,,,,,,,,,,,,,
29,,,1.0,883.092,668.079,0.6140000224113464,875.84,612.541,0.7639999985694885,883.47,532.563,0.6179999709129333,972.717,468.067,0.546999990940094,,,,,,,,,,,,,,,
30,,,1.0,883.062,668.071,0.6140000224113464,875.84,612.541,0.765999972820282,883.475,532.563,0.6159999966621399,972.747,468.086,0.5519999861717224,,,,,,,,,,,,,,,
31,,,1.0,883.092,667.991,0.6119999885559082,875.839,612.542,0.7680000066757202,883.47,532.563,0.6150000095367432,972.75,468.1,0.5519999861717224,,,,,,,,,,,,,,,
32,,,1.0,883.092,667.944,0.6150000095367432,875.839,612.542,0.7749999761581421,883.47,532.563,0.6480000019073486,972.79,468.1,0.550000011920929,,,,,,,,,,,,,,,
33,,,1.0,883.151,667.942,0.6129999756813049,875.839,612.561,0.7689999938011169,883.433,532.563,0.6259999871253967,972.75,468.1,0.550000011920929,,,,,,,,,,,,,,,
34,,,1.0,883.173,667.942,0.6060000061988831,875.841,612.574,0.7680000066757202,883.419,532.609,0.6179999709129333,972.748,468.026,0.5490000247955322,,,,,,,,,,,,,,,
35,,,1.0,883.197,667.944,0.597000002861023,875.851,612.574,0.7559999823570251,883.419,532.609,0.6340000033378601,972.749,468.012,0.5429999828338623,,,,,,,,,,,,,,,
36,,,1.0,883.244,667.99,0.5720000267028809,875.851,612.528,0.7559999823570251,875.937,532.609,0.6340000033378601,972.748,468.012,0.5429999828338623,,,,,,,,,,,,,,,
