scorer,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1100.025,636.055,0.7829999923706055,1203.541,643.732,0.7739999890327454,1260.107,580.451,0.6869999766349792,1219.085,508.054,0.652999997138977,,,0.4180000126361847,,,,,,,,,,,,,,,
1,1108.379,636.384,0.7910000085830688,1203.553,643.797,0.7710000276565552,1260.107,580.461,0.6830000281333923,1219.138,508.072,0.6620000004768372,,,1.0,,,,,,,,,,,,,,,
2,1108.379,636.384,0.7979999780654907,1203.592,643.814,0.765999972820282,1260.107,580.479,0.6850000023841858,1219.17,508.132,0.7080000042915344,,,1.0,,,,,,,,,,,,,,,
3,1108.379,636.384,0.7739999890327454,1203.592,643.814,0.7649999856948853,1260.095,580.479,0.6880000233650208,1219.185,508.133,0.7059999704360962,,,1.0,,,,,,,,,,,,,,,
4,1108.074,635.959,0.6869999766349792,1203.592,643.797,0.7580000162124634,1147.956,684.23,0.6110000014305115,,,1.0,,,1.0,,,,,,,,,,,,,,,
5,1100.638,628.606,0.6570000052452087,1203.992,643.495,0.7540000081062317,1147.956,684.264,0.6299999952316284,,,1.0,,,1.0,,,,,,,,,,,,,,,
6,1092.459,621.1,0.7120000123977661,1204.073,643.495,0.7490000128746033,1147.956,684.264,0.6740000247955322,,,1.0,,,1.0,,,,,,,,,,,,,,,
