scorer,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,0.7870000004768372,915.686,660.579,0.6850000023841858,988.424,604.125,0.6809999942779541,1116.091,643.983,0.375,1212.183,683.996,0.44999998807907104,748.176,647.531,0.7929999828338623,820.501,636.387,0.621999979019165,804.701,579.367,0.6970000267028809,867.077,500.027,0.5419999957084656,972.247,403.486,0.46299999952316284
1,,,0.7059999704360962,915.777,660.619,0.7129999995231628,988.427,604.127,0.6819999814033508,1116.091,643.983,0.3880000114440918,1212.183,684.005,0.4480000138282776,748.176,652.358,0.7789999842643738,820.59,636.519,0.6460000276565552,804.701,579.367,0.6990000009536743,867.077,500.283,0.5440000295639038,972.253,403.487,0.46799999475479126
2,,,1.0,915.864,660.762,0.722000002861023,988.429,604.156,0.675000011920929,1116.091,643.983,0.382999986410141,1212.183,691.436,0.43799999356269836,748.176,652.358,0.7760000228881836,820.607,636.523,0.652999997138977,804.704,579.367,0.6859999895095825,867.077,500.433,0.5540000200271606,972.253,403.488,0.46799999475479126
3,,,1.0,915.892,660.762,0.7229999899864197,988.427,604.158,0.6790000200271606,1116.091,643.981,0.38499999046325684,1212.183,691.436,0.43799999356269836,748.176,652.358,0.7879999876022339,827.635,636.523,0.5910000205039978,804.758,579.367,0.6840000152587891,859.979,507.736,0.6100000143051147,972.253,403.488,0.4690000116825104
4,,,1.0,915.919,660.795,0.7390000224113464,988.427,604.158,0.6830000281333923,1116.089,643.973,0.382999986410141,1212.183,691.436,0.43799999356269836,748.176,652.246,0.800000011920929,828.041,636.519,0.6169999837875366,804.771,579.302,0.6779999732971191,859.934,507.835,0.625,972.247,403.491,0.46700000762939453
5,,,1.0,915.964,660.795,0.7039999961853027,988.429,604.158,0.6769999861717224,1107.668,643.932,0.3959999978542328,1212.493,683.995,0.4490000009536743,749.054,646.921,0.722000002861023,835.526,636.257,0.6439999938011169,804.852,579.246,0.6800000071525574,859.901,507.835,0.6380000114440918,972.24,403.491,0.46799999475479126
6,,,1.0,915.998,660.795,0.703000009059906,995.235,603.484,0.6869999766349792,1099.904,636.19,0.44600000977516174,1212.493,683.995,0.4519999921321869,756.691,646.921,0.6460000276565552,836.303,636.257,0.6159999966621399,804.991,579.095,0.6700000166893005,859.833,507.835,0.6600000262260437,972.239,403.491,0.46799999475479126
