scorer,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,676.221,637.706,0.7979999780654907,779.557,643.595,0.5210000276565552,876.468,684.495,0.5989999771118164,979.692,676.948,0.42399999499320984,1076.069,571.654,0.44600000977516174,772.122,772.67,0.7990000247955322,837.242,619.48,0.722000002861023,843.874,531.271,0.8420000076293945,835.644,444.04,0.652999997138977,707.26,580.681,0.5260000228881836
1,676.224,637.706,0.7990000247955322,779.557,643.664,0.4819999933242798,876.522,684.565,0.6290000081062317,987.754,676.948,0.44999998807907104,1076.082,571.661,0.453000009059906,778.66,773.245,0.8629999756813049,843.78,619.48,0.6880000233650208,851.657,531.893,0.7929999828338623,835.995,452.265,0.6690000295639038,707.26,580.681,0.5210000276565552
2,676.359,637.706,0.8029999732971191,779.557,643.676,0.546999990940094,876.554,684.62,0.5609999895095825,995.641,684.164,0.4740000069141388,1076.088,571.667,0.45100000500679016,785.85,773.245,0.8600000143051147,843.838,619.508,0.6930000185966492,851.657,532.074,0.7919999957084656,836.01,452.406,0.6600000262260437,707.26,580.681,0.5109999775886536
3,676.381,637.662,0.8019999861717224,779.64,643.822,0.5,876.522,684.565,0.6050000190734863,995.648,684.179,0.48100000619888306,1076.097,571.669,0.44699999690055847,786.995,773.48,0.8209999799728394,843.853,619.508,0.6769999861717224,851.657,532.219,0.7839999794960022,836.041,452.527,0.6470000147819519,707.254,580.652,0.5149999856948853
4,676.39,637.658,0.8009999990463257,779.64,643.822,0.42800000309944153,876.522,684.529,0.6159999966621399,995.662,684.179,0.4779999852180481,1076.125,571.717,0.4429999887943268,793.766,773.437,0.8629999756813049,843.838,619.508,0.6679999828338623,851.375,532.219,0.7850000262260437,836.043,452.544,0.6579999923706055,707.254,580.634,0.5260000228881836
5,676.575,637.658,0.8059999942779541,779.671,652.697,0.4300000071525574,876.474,684.529,0.5600000023841858,995.662,684.181,0.47699999809265137,1084.434,571.879,0.45399999618530273,793.766,773.245,0.828000009059906,843.838,619.519,0.6660000085830688,851.278,532.219,0.7919999957084656,836.104,452.544,0.6639999747276306,707.254,580.611,0.5299999713897705
6,676.576,637.662,0.8059999942779541,779.7,652.731,0.4569999873638153,876.364,684.515,0.5630000233650208,995.662,684.181,0.48899999260902405,,,1.0,793.766,773.23,0.8220000267028809,843.891,619.519,0.6600000262260437,851.15,532.025,0.7879999876022339,836.104,452.527,0.6740000247955322,707.412,580.423,0.4429999887943268
